CART;feature_name
6.5;season
3.0;yr
9.0;mnth
1.0;hr
12.0;holiday
9.0;weekday
4.0;workingday
9.0;weathersit
2.0;temp
6.5;atemp
5.0;hum
11.0;windspeed
