CART;Linear_regression;Ridge_regression;Lasso_regression;RF_simple;feature_name
1.0;12.5;13.0;12.5;2.0;Unnamed: 0
12.5;3.0;10.5;3.0;11.5;bedrooms
10.5;7.5;2.0;7.5;5.0;bathrooms
3.0;1.0;1.0;1.0;1.0;sqft_living
5.0;2.0;8.0;2.0;3.0;sqft_lot
12.5;12.5;9.0;12.5;11.5;floors
6.0;4.0;3.0;4.0;13.0;waterfront
8.5;5.5;4.0;5.5;10.0;view
2.0;5.5;6.0;5.5;9.0;condition
10.5;9.5;5.0;9.5;8.0;sqft_basement
8.5;11.0;12.0;11.0;7.0;year_since_1st_renovation
7.0;7.5;7.0;7.5;6.0;city
4.0;9.5;10.5;9.5;4.0;statezip
