CART;feature_name
10.0;property_type
1.0;room_type
5.0;amenities
7.0;accommodates
3.0;bathrooms
16.0;bed_type
11.0;cancellation_policy
13.0;cleaning_fee
16.0;city
18.0;host_has_profile_pic
13.0;host_identity_verified
16.0;instant_bookable
4.0;latitude
2.0;longitude
6.0;number_of_reviews
9.0;review_scores_rating
8.0;bedrooms
13.0;beds
